Страна,MAPE_до,MAPE_после,Снижение_MAPE,MAE_до,MAE_после,Снижение_MAE
Италия,3.95,3.95,-0.0,133480.48,133482.1,-0.0
Сингапур,6.51,6.5,0.2,5593.23,5579.33,0.2
